Abgabenbescheid / Datum Erstellung,Abgabenbescheid / Gesamtabgabe,Amount_of_declarations_per_day
2018-08-21,1017.9599999999999,2
2018-08-22,1294.56,2
2018-08-23,41.7,1
2018-08-24,7903.27,6
2018-08-27,6134.62,5
2018-08-28,350.74,1
2018-08-29,3109.2400000000002,6
2018-08-31,608.47,1
2018-09-03,0.0,3
2018-09-04,438.36,1
2018-09-05,619.65,3
2018-09-06,1347.29,2
2018-09-11,21593.47,3
2018-09-12,1656.35,3
2018-09-13,935.4300000000001,2
2018-09-14,1596.63,4
2018-09-17,2286.23,2
2018-09-18,291.97,1
2018-09-19,0.0,1
2018-09-20,0.0,1
2018-09-21,319.5,1
2018-09-26,377.69,1
2018-09-27,6481.2,2
2018-09-28,0.0,2
2018-10-03,655.27,3
2018-10-04,6133.969999999999,3
2018-10-05,9838.87,3
2018-10-08,5794.97,1
2018-10-09,568.03,2
2018-10-11,22695.239999999998,8
2018-10-15,7275.67,2
2018-10-17,0.0,1
2018-10-18,2723.85,2
2018-10-19,979.49,1
2018-10-23,415.72,2
2018-10-24,269.77,5
2018-10-25,1170.47,2
2018-10-26,5376.13,3
2018-10-29,5686.42,1
2018-10-30,780.66,6
2018-11-02,0.0,1
2018-11-05,0.0,1
2018-11-07,2949.22,1
2018-11-08,1835.97,1
2018-11-09,8083.72,4
2018-11-15,0.0,1
2018-11-19,802.18,1
2018-11-21,6397.07,2
2018-11-26,906.71,1
2018-11-28,475.37,1
2018-11-29,447.98,4
2018-12-03,542.58,1
2018-12-04,0.0,1
2018-12-05,0.0,2
2018-12-06,893.8199999999999,3
2018-12-11,711.06,1
2018-12-12,1089.18,2
2018-12-13,7650.93,4
2018-12-17,0.0,2
2018-12-19,1157.67,1
2018-12-20,1075.29,1
2018-12-27,469.43,1
2019-01-01,4383.84,1
2019-01-03,1724.72,3
2019-01-04,8246.82,3
2019-01-05,1366.38,1
2019-01-08,812.45,1
2019-01-09,0.0,2
2019-01-10,2091.67,2
2019-01-12,480.34,1
2019-01-14,19446.18,1
2019-01-15,0.0,1
2019-01-17,1019.19,1
2019-01-21,20116.18,2
2019-01-24,1215.26,2
2019-01-25,372.34,1
2019-01-28,1598.54,2
2019-01-29,10741.22,5
2019-02-01,8486.07,1
2019-02-04,18582.08,1
2019-02-05,2117.95,1
2019-02-07,0.0,1
2019-02-10,0.0,1
2019-02-12,302.1,1
2019-02-14,0.0,3
2019-02-15,2422.7200000000003,4
2019-02-18,19090.47,2
2019-02-19,9560.4,3
2019-02-20,395.88,1
2019-02-25,4566.54,1
2019-02-27,1676.44,2
2019-03-04,6662.0,4
2019-03-06,1169.61,1
2019-03-07,1869.27,3
2019-03-08,401.35,1
2019-03-12,542.51,1
2019-03-14,19.01,1
2019-03-18,6930.91,4
2019-03-22,2257.58,2
2019-03-26,7021.35,4
2019-03-27,354.52,1
2019-03-28,199.88,2
2019-04-01,6653.93,4
2019-04-02,659.79,2
2019-04-03,0.0,1
2019-04-08,2786.18,2
2019-04-09,17954.96,6
2019-04-11,642.74,1
2019-04-12,2766.37,1
2019-04-18,657.08,3
2019-04-23,2482.48,1
2019-04-24,8573.95,2
2019-04-25,0.0,1
2019-04-26,0.0,3
2019-04-27,2030.41,2
2019-04-29,1116.21,2
2019-04-30,187.94,2
2019-05-02,6780.91,4
2019-05-03,88.86,1
2019-05-08,0.0,1
2019-05-10,3644.13,3
2019-05-14,0.0,1
2019-05-15,1402.54,4
2019-05-16,1160.97,6
2019-05-17,465.7,6
2019-05-20,6346.789999999999,4
2019-05-21,0.0,1
2019-05-22,2807.01,4
2019-05-23,1896.1999999999998,2
2019-05-24,1959.93,4
2019-05-27,7115.79,3
2019-05-28,0.0,1
2019-05-29,4097.8,3
2019-05-31,371.13,4
2019-06-01,3094.91,3
2019-06-03,3197.0,1
2019-06-04,9532.97,2
2019-06-05,3188.13,4
2019-06-06,0.0,2
2019-06-07,0.0,3
2019-06-08,2892.65,2
2019-06-10,10976.5,4
2019-06-11,2534.38,2
2019-06-12,485.09,1
2019-06-13,2352.42,3
2019-06-17,172.84,2
2019-06-18,9714.210000000001,4
2019-06-19,507.43,1
2019-06-21,0.0,1
2019-06-22,1599.95,1
2019-06-24,8457.47,3
2019-06-25,2077.35,1
2019-06-26,2608.33,8
2019-06-27,0.0,4
2019-06-28,6915.53,3
2019-07-01,10347.81,4
2019-07-02,868.55,1
2019-07-03,534.29,3
2019-07-04,0.0,3
2019-07-05,1758.07,3
2019-07-08,1971.5900000000001,4
2019-07-12,8412.77,2
2019-07-15,0.0,1
2019-07-17,8406.91,2
2019-07-18,989.1400000000001,2
2019-07-22,9083.890000000001,4
2019-07-24,432.0,1
2019-07-25,712.11,1
2019-07-26,4106.27,7
2019-07-29,12373.95,4
2019-07-30,0.0,1
2019-08-01,714.95,5
2019-08-02,0.0,6
2019-08-05,8849.900000000001,3
2019-08-06,0.0,6
2019-08-07,2039.02,4
2019-08-08,816.03,3
2019-08-09,3499.56,4
2019-08-12,2803.2,3
2019-08-14,15867.35,5
2019-08-15,478.32,1
2019-08-16,377.54,2
2019-08-19,10493.98,5
2019-08-21,0.0,1
2019-08-22,3025.96,2
2019-08-23,386.67,1
2019-08-28,1349.52,1
2019-08-29,0.0,2
2019-08-30,314.45,2
2019-08-31,626.87,1
2019-09-02,455.01,1
2019-09-04,984.24,1
2019-09-05,435.03,3
2019-09-06,0.0,1
2019-09-10,834.37,2
2019-09-11,389.88,2
2019-09-13,2315.08,2
2019-09-16,12998.400000000001,5
2019-09-17,183.21,1
2019-09-18,1111.21,1
2019-09-19,2865.99,4
2019-09-23,9309.720000000001,5
2019-09-25,0.0,1
2019-09-26,808.8599999999999,2
2019-09-27,731.04,2
2019-10-01,8669.19,3
2019-10-02,1196.3500000000001,2
2019-10-04,2189.7999999999997,6
2019-10-05,1098.88,1
2019-10-09,1961.8200000000002,3
2019-10-10,942.8199999999999,5
2019-10-11,3969.08,4
2019-10-14,7447.36,3
2019-10-16,22.34,4
2019-10-17,2759.05,3
2019-10-18,730.33,1
2019-10-23,905.44,1
2019-10-24,2264.91,4
2019-10-25,853.3,1
2019-10-28,9248.23,4
2019-10-29,266.22,1
2019-10-30,1570.35,2
2019-11-01,720.29,2
2019-11-04,9597.61,4
2019-11-05,4538.82,3
2019-11-06,478.9,4
2019-11-07,205.68,3
2019-11-08,1265.71,3
2019-11-12,369.0,1
